step,epoch,batch,loss,cls_loss,ra_loss,weighted_ra_loss,ra_loss_weight,lr
20,1,20,5.433803081512451,0.7276444435119629,47.06158447265625,4.706158638000488,0.1,0.0001
40,1,40,5.233254432678223,0.6411002278327942,45.921539306640625,4.592154026031494,0.1,0.0001
60,1,60,5.124151229858398,0.6404033899307251,44.83747863769531,4.483747959136963,0.1,0.0001
80,1,80,4.935540676116943,0.6584320068359375,42.771087646484375,4.277108669281006,0.1,0.0001
100,1,100,4.603619575500488,0.6924238204956055,39.11195373535156,3.9111955165863037,0.1,0.0001
120,1,120,4.728416919708252,0.7365932464599609,39.918235778808594,3.991823673248291,0.1,0.0001
140,1,140,4.542311668395996,0.6426852941513062,38.99626159667969,3.8996262550354004,0.1,0.0001
160,1,160,4.433973789215088,0.7659255266189575,36.68048095703125,3.668048143386841,0.1,0.0001
180,1,180,4.359893321990967,0.6479041576385498,37.11989212036133,3.711989164352417,0.1,0.0001
200,1,200,4.508631706237793,0.6582034826278687,38.5042839050293,3.850428342819214,0.1,0.0001
220,1,220,4.198278427124023,0.6490514278411865,35.492271423339844,3.549227237701416,0.1,0.0001
240,1,240,4.5966644287109375,0.6232438087463379,39.73420715332031,3.9734208583831787,0.1,0.0001
260,1,260,4.466578483581543,0.8156585693359375,36.50920104980469,3.6509201526641846,0.1,0.0001
280,1,280,4.271858215332031,0.6614774465560913,36.10380554199219,3.6103806495666504,0.1,0.0001
300,1,300,4.301565647125244,0.6513200998306274,36.50245666503906,3.6502456665039062,0.1,0.0001
320,1,320,5.191473960876465,0.6768497228622437,45.146240234375,4.514624118804932,0.1,0.0001
340,1,340,4.311629295349121,0.6977515816688538,36.13877487182617,3.613877534866333,0.1,0.0001
360,1,360,4.1087822914123535,0.6137014627456665,34.9508056640625,3.4950807094573975,0.1,0.0001
380,1,380,4.202309608459473,0.6665986776351929,35.35710906982422,3.5357110500335693,0.1,0.0001
400,1,400,4.223457336425781,0.5746632814407349,36.487937927246094,3.648793935775757,0.1,0.0001
420,1,420,4.145847797393799,0.5582605004310608,35.87586975097656,3.5875871181488037,0.1,0.0001
440,1,440,4.294273376464844,0.6347213983535767,36.59552001953125,3.6595520973205566,0.1,0.0001
460,1,460,4.184427738189697,0.5851682424545288,35.99259567260742,3.599259614944458,0.1,0.0001
480,1,480,4.31149959564209,0.6100888252258301,37.01410675048828,3.7014107704162598,0.1,0.0001
500,1,500,4.185988426208496,0.5265361070632935,36.59452438354492,3.659452438354492,0.1,0.0001
520,1,520,4.274421215057373,0.6245580911636353,36.49863052368164,3.6498630046844482,0.1,0.0001
540,1,540,4.167933464050293,0.667142391204834,35.007911682128906,3.500791311264038,0.1,0.0001
560,1,560,4.085744857788086,0.5971331596374512,34.88611602783203,3.4886116981506348,0.1,0.0001
580,1,580,4.190243721008301,0.7000366449356079,34.902069091796875,3.4902069568634033,0.1,0.0001
600,1,600,4.875342845916748,0.5887268781661987,42.86615753173828,4.28661584854126,0.1,0.0001
620,1,620,4.17085075378418,0.5395193099975586,36.31331253051758,3.631331205368042,0.1,0.0001
640,1,640,4.250140190124512,0.6859647631645203,35.641754150390625,3.5641753673553467,0.1,0.0001
660,1,660,4.136072635650635,0.6330850720405579,35.029876708984375,3.5029876232147217,0.1,0.0001
680,1,680,4.217175006866455,0.6449538469314575,35.72220993041992,3.572221040725708,0.1,0.0001
700,1,700,4.102652072906494,0.6142929792404175,34.88359069824219,3.488359212875366,0.1,0.0001
720,1,720,4.171200275421143,0.6289783716201782,35.422218322753906,3.542221784591675,0.1,0.0001
740,1,740,4.242912292480469,0.744398832321167,34.98513412475586,3.4985134601593018,0.1,0.0001
760,1,760,4.0924272537231445,0.5901679992675781,35.02259063720703,3.5022590160369873,0.1,0.0001
780,1,780,4.097434043884277,0.6139522790908813,34.834815979003906,3.4834816455841064,0.1,0.0001
800,1,800,4.14475154876709,0.629764974117279,35.14986801147461,3.514986753463745,0.1,0.0001
820,1,820,4.266515731811523,0.679777979850769,35.86737823486328,3.586737871170044,0.1,0.0001
840,1,840,4.314016819000244,0.6600450873374939,36.53971862792969,3.6539719104766846,0.1,0.0001
860,1,860,4.165021896362305,0.657883882522583,35.07137680053711,3.5071377754211426,0.1,0.0001
880,1,880,4.1599884033203125,0.6054300665855408,35.54558563232422,3.554558515548706,0.1,0.0001
900,1,900,4.199864864349365,0.6671411991119385,35.32723617553711,3.5327236652374268,0.1,0.0001
920,1,920,4.105989456176758,0.6174826622009277,34.88507080078125,3.488507032394409,0.1,0.0001
940,1,940,3.9784843921661377,0.46376463770866394,35.14719772338867,3.5147197246551514,0.1,0.0001
960,1,960,4.100343704223633,0.6188595294952393,34.81483840942383,3.4814839363098145,0.1,0.0001
980,1,980,4.002230644226074,0.5121759176254272,34.90054702758789,3.4900548458099365,0.1,0.0001
1000,1,1000,4.050023078918457,0.5309679508209229,35.190547943115234,3.519054889678955,0.1,0.0001
1020,1,1020,4.1904377937316895,0.7084625959396362,34.81975173950195,3.4819753170013428,0.1,0.0001
1040,1,1040,4.253499507904053,0.7723938226699829,34.811058044433594,3.4811058044433594,0.1,0.0001
1060,1,1060,3.984821319580078,0.5044118165969849,34.80409240722656,3.4804093837738037,0.1,0.0001
1080,1,1080,4.203640937805176,0.5471636652946472,36.56477355957031,3.656477451324463,0.1,0.0001
1100,1,1100,4.055692195892334,0.5541586875915527,35.01533508300781,3.5015335083007812,0.1,0.0001
1120,1,1120,4.203152656555176,0.6549390554428101,35.48213577270508,3.5482137203216553,0.1,0.0001
1140,1,1140,4.360565185546875,0.6533704400062561,37.07194519042969,3.7071945667266846,0.1,0.0001
1160,1,1160,4.368180274963379,0.8816293478012085,34.865509033203125,3.48655104637146,0.1,0.0001
1180,1,1180,4.152015686035156,0.6307985186576843,35.21217346191406,3.5212173461914062,0.1,0.0001
1200,1,1200,4.330504417419434,0.8203856945037842,35.10118865966797,3.5101189613342285,0.1,0.0001
1220,1,1220,4.156662940979004,0.6743273735046387,34.8233528137207,3.482335329055786,0.1,0.0001
1240,1,1240,4.0616984367370605,0.584813117980957,34.76885223388672,3.4768853187561035,0.1,0.0001
1260,1,1260,4.184409141540527,0.7017621994018555,34.82646560668945,3.4826467037200928,0.1,0.0001
1280,1,1280,4.161344051361084,0.6832814812660217,34.78062438964844,3.478062391281128,0.1,0.0001
1300,1,1300,4.107611179351807,0.6252782940864563,34.823326110839844,3.482332706451416,0.1,0.0001
1320,1,1320,4.100350856781006,0.5183401703834534,35.820106506347656,3.5820107460021973,0.1,0.0001
1340,1,1340,4.047080039978027,0.559509813785553,34.875701904296875,3.487570285797119,0.1,0.0001
1360,1,1360,3.894732713699341,0.3923180103302002,35.024147033691406,3.5024147033691406,0.1,0.0001
1380,1,1380,4.1166558265686035,0.6372127532958984,34.794429779052734,3.479443073272705,0.1,0.0001
1400,1,1400,4.079353332519531,0.5965139269828796,34.828392028808594,3.482839345932007,0.1,0.0001
1420,1,1420,3.9823338985443115,0.4833841621875763,34.989498138427734,3.4989497661590576,0.1,0.0001
1440,1,1440,4.100275993347168,0.6232410073280334,34.770347595214844,3.4770348072052,0.1,0.0001
1460,1,1460,4.0302734375,0.5205394625663757,35.09733963012695,3.5097339153289795,0.1,0.0001
1480,1,1480,4.0063605308532715,0.5080503821372986,34.98310089111328,3.498310089111328,0.1,0.0001
1500,1,1500,3.8795433044433594,0.3910290002822876,34.8851432800293,3.4885144233703613,0.1,0.0001
1520,1,1520,4.194822311401367,0.71864914894104,34.7617301940918,3.476173162460327,0.1,0.0001
1540,1,1540,4.185649871826172,0.6432972550392151,35.423526763916016,3.5423526763916016,0.1,0.0001
1560,1,1560,3.9850244522094727,0.5058919191360474,34.791324615478516,3.4791324138641357,0.1,0.0001
1580,1,1580,4.131278991699219,0.5806307792663574,35.5064811706543,3.5506482124328613,0.1,0.0001
1600,1,1600,4.188527584075928,0.7096053957939148,34.789222717285156,3.4789223670959473,0.1,0.0001
1620,1,1620,4.2632341384887695,0.6664702296257019,35.9676399230957,3.596764087677002,0.1,0.0001
1640,1,1640,4.29935359954834,0.5897529125213623,37.09600830078125,3.7096009254455566,0.1,0.0001
1660,1,1660,4.058505535125732,0.5812443494796753,34.772613525390625,3.4772613048553467,0.1,0.0001
1680,1,1680,4.1372480392456055,0.6606731414794922,34.765750885009766,3.4765751361846924,0.1,0.0001
1700,1,1700,4.198371887207031,0.6765083074569702,35.21863555908203,3.5218636989593506,0.1,0.0001
1720,1,1720,4.004006862640381,0.528326153755188,34.756805419921875,3.4756805896759033,0.1,0.0001
1740,1,1740,4.034933090209961,0.49882155656814575,35.361114501953125,3.53611159324646,0.1,0.0001
1760,1,1760,4.182610988616943,0.6922630071640015,34.903480529785156,3.4903481006622314,0.1,0.0001
1780,1,1780,4.039730072021484,0.5348362922668457,35.04893493652344,3.5048935413360596,0.1,0.0001
1800,1,1800,4.0228962898254395,0.49881523847579956,35.24081039428711,3.524080991744995,0.1,0.0001
1820,1,1820,3.9950485229492188,0.47259971499443054,35.2244873046875,3.522448778152466,0.1,0.0001
1840,1,1840,4.071445941925049,0.5955999493598938,34.75845718383789,3.4758458137512207,0.1,0.0001
1860,1,1860,4.122857093811035,0.6058593988418579,35.16997528076172,3.5169975757598877,0.1,0.0001
1880,1,1880,3.95174241065979,0.46127986907958984,34.904624938964844,3.4904625415802,0.1,0.0001
1900,1,1900,4.201902389526367,0.6098828315734863,35.92019271850586,3.5920193195343018,0.1,0.0001
1920,1,1920,4.026066303253174,0.526593029499054,34.99473190307617,3.4994733333587646,0.1,0.0001
1940,1,1940,3.9393348693847656,0.44793829321861267,34.91396713256836,3.49139666557312,0.1,0.0001
1960,1,1960,4.286498069763184,0.8106281757354736,34.758697509765625,3.47586989402771,0.1,0.0001
1980,1,1980,4.007411003112793,0.506475567817688,35.00935363769531,3.5009353160858154,0.1,0.0001
2000,1,2000,4.017917156219482,0.5335821509361267,34.84334945678711,3.484334945678711,0.1,0.0001
2020,1,2020,4.007429122924805,0.5314090251922607,34.76020050048828,3.476020097732544,0.1,0.0001
2040,1,2040,4.013645648956299,0.5347805023193359,34.78865051269531,3.478865146636963,0.1,0.0001
2060,1,2060,3.9117541313171387,0.43439048528671265,34.77363586425781,3.4773635864257812,0.1,0.0001
2080,1,2080,4.016281604766846,0.5240458250045776,34.92235565185547,3.4922356605529785,0.1,0.0001
2100,1,2100,4.117908954620361,0.6401925683021545,34.77716064453125,3.4777162075042725,0.1,0.0001
2120,1,2120,4.014421463012695,0.5387400388717651,34.756813049316406,3.4756813049316406,0.1,0.0001
2140,1,2140,4.065459251403809,0.583148717880249,34.82310485839844,3.4823105335235596,0.1,0.0001
2160,1,2160,4.031227111816406,0.5443394780158997,34.86887741088867,3.4868876934051514,0.1,0.0001
2180,1,2180,3.9006800651550293,0.42592793703079224,34.747520446777344,3.474752187728882,0.1,0.0001
2200,1,2200,3.856830358505249,0.38175874948501587,34.75071716308594,3.475071668624878,0.1,0.0001
