num_workers,prefetch_factor,persistent_workers,batch_size,num_samples,num_batches,fps_including_metrics,total_ms_per_sample,data_wait_ms_per_sample,transfer_forward_ms_per_sample,data_wait_seconds,transfer_forward_seconds,total_seconds,acc,ap,fpr,fnr
4,2,True,16,1280,80,17.55470355977536,56.96478989775642,49.93146313645411,6.8954772694269195,63.912272814661264,8.826210904866457,72.91493106912822,0.90859375,-0.0,0.09140625,0.0
4,4,True,16,1280,80,17.69370183610783,56.51728560042102,49.88735948863905,6.536769968806766,63.85582014545798,8.36706556007266,72.3421255685389,0.90859375,-0.0,0.09140625,0.0
8,2,True,16,1280,80,31.48260930795431,31.763567950110883,25.09611556888558,6.471129395504249,32.12302792817354,8.283045626245439,40.65736697614193,0.90859375,-0.0,0.09140625,0.0
8,4,True,16,1280,80,31.600120169559546,31.64544927785755,24.923377939558122,6.51069666564581,31.901923762634397,8.333691732026637,40.506175075657666,0.90859375,-0.0,0.09140625,0.0
12,2,True,16,1280,80,41.29967084884097,24.213268034509383,17.430023694760166,6.498201131034875,22.310430329293013,8.31769744772464,30.99298308417201,0.90859375,-0.0,0.09140625,0.0
12,4,True,16,1280,80,41.95837003750906,23.833146976539865,17.048075695493026,6.489662666717777,21.821536890231073,8.306768213398755,30.506428129971027,0.90859375,-0.0,0.09140625,0.0
