step,epoch,batch,loss,cls_loss,ra_loss,lr
20,1,20,46.9357795715332,0.6244085431098938,46.311370849609375,0.0001
40,1,40,43.64570617675781,0.6946663856506348,42.9510383605957,0.0001
60,1,60,43.798004150390625,0.691484272480011,43.10652160644531,0.0001
80,1,80,43.57737350463867,0.7096827030181885,42.86769104003906,0.0001
100,1,100,39.11427688598633,0.6956000328063965,38.418678283691406,0.0001
120,1,120,37.8260498046875,0.6928404569625854,37.133209228515625,0.0001
140,1,140,39.219322204589844,0.6749739646911621,38.544349670410156,0.0001
160,1,160,39.565547943115234,0.6714990139007568,38.89405059814453,0.0001
180,1,180,38.901798248291016,0.675652027130127,38.22614669799805,0.0001
200,1,200,38.347591400146484,0.6929657459259033,37.654624938964844,0.0001
220,1,220,39.83229446411133,0.6595640182495117,39.1727294921875,0.0001
240,1,240,38.82757568359375,0.6543091535568237,38.17326736450195,0.0001
260,1,260,40.186283111572266,0.7177582383155823,39.46852493286133,0.0001
280,1,280,36.79715347290039,0.687857985496521,36.10929489135742,0.0001
300,1,300,36.88365936279297,0.6027225255966187,36.28093719482422,0.0001
320,1,320,36.46532440185547,0.6190207004547119,35.8463020324707,0.0001
340,1,340,36.871463775634766,0.6586739420890808,36.212791442871094,0.0001
360,1,360,35.625816345214844,0.6219167709350586,35.00389862060547,0.0001
380,1,380,36.013031005859375,0.6556993722915649,35.357330322265625,0.0001
400,1,400,36.473873138427734,0.6900203227996826,35.783851623535156,0.0001
420,1,420,36.26055908203125,0.6388910412788391,35.62166976928711,0.0001
440,1,440,35.59101104736328,0.6388621926307678,34.9521484375,0.0001
460,1,460,36.275882720947266,0.6981686353683472,35.57771301269531,0.0001
480,1,480,36.56153106689453,0.7181083559989929,35.843421936035156,0.0001
500,1,500,37.25809097290039,0.6360429525375366,36.622047424316406,0.0001
520,1,520,36.35460662841797,0.6107112169265747,35.743896484375,0.0001
540,1,540,37.177459716796875,0.7052117586135864,36.47224807739258,0.0001
560,1,560,35.7703971862793,0.6899096965789795,35.08048629760742,0.0001
580,1,580,35.406429290771484,0.6199074983596802,34.786521911621094,0.0001
600,1,600,35.682621002197266,0.6565899848937988,35.026031494140625,0.0001
620,1,620,36.03547286987305,0.668425440788269,35.36704635620117,0.0001
640,1,640,37.027793884277344,0.6774219274520874,36.350372314453125,0.0001
660,1,660,36.75596237182617,0.6344326734542847,36.12152862548828,0.0001
680,1,680,35.662357330322266,0.6694619655609131,34.992897033691406,0.0001
700,1,700,35.38610076904297,0.6062695384025574,34.77983093261719,0.0001
720,1,720,39.72404479980469,0.6336056590080261,39.09043884277344,0.0001
740,1,740,35.49069595336914,0.679685652256012,34.81100845336914,0.0001
760,1,760,35.76699447631836,0.6082350015640259,35.15876007080078,0.0001
780,1,780,35.79098892211914,0.6462138891220093,35.144775390625,0.0001
800,1,800,35.7691650390625,0.7793681621551514,34.98979568481445,0.0001
820,1,820,35.743003845214844,0.6498933434486389,35.093109130859375,0.0001
840,1,840,35.71559524536133,0.6347931623458862,35.08080291748047,0.0001
860,1,860,35.55319595336914,0.7532446384429932,34.799949645996094,0.0001
880,1,880,36.41804122924805,0.7139787673950195,35.704063415527344,0.0001
900,1,900,35.36600875854492,0.6065900921821594,34.75941848754883,0.0001
920,1,920,35.41923522949219,0.6701228022575378,34.74911117553711,0.0001
940,1,940,35.58367156982422,0.5742291212081909,35.00944137573242,0.0001
960,1,960,35.55573272705078,0.5629557371139526,34.99277877807617,0.0001
980,1,980,35.655879974365234,0.6668603420257568,34.98902130126953,0.0001
1000,1,1000,37.167240142822266,0.6105482578277588,36.55669021606445,0.0001
1020,1,1020,35.51023483276367,0.6329318284988403,34.87730407714844,0.0001
1040,1,1040,35.42524719238281,0.6528856158256531,34.772361755371094,0.0001
